input_sku,input_ean,input_name,source_api_sku,source_api_ean,source_api_name,source_currency,source_price_diamond,source_price_path,source_stock,source_stock_path,source_stock_status,plenty_item_id,plenty_variation_id,plenty_variation_number,plenty_match_method,plenty_old_purchase_price,plenty_target_purchase_price,purchase_price_status,plenty_old_stock,plenty_target_stock,stock_delta,stock_status,plenty_sales_price_id,plenty_target_sales_price,sales_price_status,source_status,plenty_status,overall_status,error,fetched_at_utc,synced_at_utc,cycle,attempts_total
105379,5901810000011,Apis-Enzym-Peeling mit Bioenzymen und Meeresalgen 100ml,105379,5901810000011,Apis-Enzym-Peeling mit Bioenzymen und Meeresalgen 100ml,EUR,8.33,extension_attributes.final_price,11.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,749,1826,105379,numberExact,8.33,8.33,NO_CHANGE,-3.0,11.0,14.0,UPDATED,8,12.39,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:10.844777+00:00,2026-08-21T09:01:14.795890+00:00,15,18
108616,5901810006525,apis hydro evolution extrem feuchtigkeitsspendende Algenmaske mit Birne und Rhabarber aquaxtrem ™ 250g,108616,5901810006525,apis hydro evolution extrem feuchtigkeitsspendende Algenmaske mit Birne und Rhabarber aquaxtrem ™ 250g,EUR,9.55,extension_attributes.final_price,4.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,750,1827,108616,numberExact,9.55,9.55,NO_CHANGE,6.0,4.0,-2.0,UPDATED,8,14.21,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:16.334841+00:00,2026-08-21T09:01:20.527418+00:00,15,18
109094,5906717405396,Elektrische kosmetikliege azzurro 708a 4 motoren weiss,109094,5906717405396,Elektrische kosmetikliege azzurro 708a 4 motoren weiss,EUR,1062.11,extension_attributes.final_price,12.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,751,1828,109094,numberExact,1062.11,1062.11,NO_CHANGE,-1.0,12.0,13.0,UPDATED,8,1579.89,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:21.906518+00:00,2026-08-21T09:01:26.389534+00:00,15,18
109237,5906717405648,Friseurwaschbecke Gabbiano Ankara schwarz,109237,5906717405648,Friseurwaschbecke Gabbiano Ankara schwarz,EUR,340.57,extension_attributes.final_price,13.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,752,1829,109237,numberExact,340.57,340.57,NO_CHANGE,15.0,13.0,-2.0,UPDATED,8,506.6,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:27.874305+00:00,2026-08-21T09:01:32.674514+00:00,15,18
109403,5906717405921,Gabbiano infrarothaube trockenhaube mit stativ gl-505s grau,109403,5906717405921,Gabbiano infrarothaube trockenhaube mit stativ gl-505s grau,EUR,404.06,extension_attributes.final_price,34.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,753,1830,109403,numberExact,404.06,404.06,NO_CHANGE,34.0,34.0,0.0,NO_CHANGE,8,601.04,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:34.130732+00:00,2026-08-21T09:01:36.419782+00:00,15,18
109519,5906717406072,Gabbiano infrarothaube trockenhaube mit stativ gl-505s silber,109519,5906717406072,Gabbiano infrarothaube trockenhaube mit stativ gl-505s silber,EUR,411.28,extension_attributes.final_price,2.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,753,1835,109519,numberExact,411.28,411.28,NO_CHANGE,5.0,2.0,-3.0,UPDATED,8,611.78,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:37.908227+00:00,2026-08-21T09:01:42.137073+00:00,15,18
109615,7610558560982,Valera haartrockner swiss light 5400 fold-away ionic,109615,7610558560982,Valera haartrockner swiss light 5400 fold-away ionic ,EUR,53.37,extension_attributes.final_price,9.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,754,1831,109615,numberExact,53.37,53.37,NO_CHANGE,9.0,9.0,0.0,NO_CHANGE,8,79.39,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:43.517824+00:00,2026-08-21T09:01:45.797291+00:00,15,18
111351,5906717406317,Kosmetikhocker 1025 schwarz giovanni,111351,5906717406317,Kosmetikhocker 1025 schwarz giovanni ,EUR,76.48,extension_attributes.final_price,326.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,755,1836,111351,numberExact,76.48,76.48,NO_CHANGE,-31.0,326.0,357.0,UPDATED,8,113.76,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:47.291352+00:00,2026-08-21T09:01:51.567864+00:00,15,18
114485,5906717408748,GABBIANO WASCHSCHÜSSEL WEISS,114485,5906717408748,GABBIANO WASCHSCHÜSSEL WEISS ,EUR,93.8,extension_attributes.final_price,20.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,756,1839,114485,numberExact,93.8,93.8,NO_CHANGE,22.0,20.0,-2.0,UPDATED,8,139.53,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:53.150821+00:00,2026-08-21T09:01:57.937677+00:00,15,18
115247,5906717409370,Lupenleuchte led s5 + stativ,115247,5906717409370,Lupenleuchte led s5 + stativ,EUR,43.29,extension_attributes.final_price,47.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,757,1841,115247,numberExact,43.29,43.29,NO_CHANGE,-44.0,47.0,91.0,UPDATED,8,64.39,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:01:59.360449+00:00,2026-08-21T09:02:04.108973+00:00,15,18
115561,5906717409547,Bedampfer d-008,115561,5906717409547,Bedampfer d-008,EUR,33.19,extension_attributes.final_price,1478.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,758,1842,115561,numberExact,33.19,33.19,NO_CHANGE,-46.0,1478.0,1524.0,UPDATED,8,49.37,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:05.677969+00:00,2026-08-21T09:02:10.481128+00:00,15,18
118591,5906717409929,Kosmetikhocker 6001 schwarz,118591,5906717409929,Kosmetikhocker 6001 schwarz ,EUR,33.19,extension_attributes.final_price,1154.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,759,1843,118591,numberExact,33.19,33.19,NO_CHANGE,-64.0,1154.0,1218.0,UPDATED,8,49.37,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:12.059366+00:00,2026-08-21T09:02:16.818541+00:00,15,18
119727,5906717410048,Kosmetikhocker für pediküre a-007 weiss,119727,5906717410048,Kosmetikhocker für pediküre a-007 weiss ,EUR,41.85,extension_attributes.final_price,0.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,760,1847,119727,numberExact,41.85,41.85,NO_CHANGE,-15.0,0.0,15.0,UPDATED,8,62.25,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:18.326029+00:00,2026-08-21T09:02:23.086603+00:00,15,18
122663,5901810003050,Apis Azelainsäure 30% 30 ml,122663,5901810003050,Apis Azelainsäure 30% 30 ml,EUR,8.94,extension_attributes.final_price,26.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,761,1849,122663,numberExact,8.94,8.94,NO_CHANGE,12.0,26.0,14.0,UPDATED,8,13.3,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:24.653360+00:00,2026-08-21T09:02:29.450212+00:00,15,18
122803,8936000923341,Nghia export metall-nagelhautschieber p-10,122803,8936000923341,Nghia export metall-nagelhautschieber p-10,EUR,3.25,extension_attributes.final_price,49.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,762,1850,122803,numberExact,3.25,3.25,NO_CHANGE,-19.0,49.0,68.0,UPDATED,8,4.83,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:30.911368+00:00,2026-08-21T09:02:35.724578+00:00,15,18
123363,5906717412950,"Saeyang Kabel für Kopf Marathon SDE-H200, SDE-SH300S, SDESH30N, SDE-M33E, SDE-M40ES grau",123363,5906717412950,"Saeyang Kabel für Kopf Marathon SDE-H200, SDE-SH300S, SDESH30N, SDE-M33E, SDE-M40ES grau",EUR,8.88,extension_attributes.final_price,500.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,763,1851,123363,numberExact,8.88,8.88,NO_CHANGE,-58.0,500.0,558.0,UPDATED,8,13.21,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:37.154977+00:00,2026-08-21T09:02:41.942133+00:00,15,18
124104,5906717414404,Kosmetikliege spa pediküre mit massagefunktion 308,124104,5906717414404,Kosmetikliege spa pediküre mit massagefunktion 308,EUR,256.87,extension_attributes.final_price,2.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,764,1852,124104,numberExact,256.87,256.87,NO_CHANGE,13.0,2.0,-11.0,UPDATED,8,382.09,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:43.454964+00:00,2026-08-21T09:02:48.204972+00:00,15,18
124725,5906717415265,Gabbiano friseurbedienplatz mit waschbecken b085,124725,5906717415265,Gabbiano friseurbedienplatz mit waschbecken b085,EUR,500.0,extension_attributes.final_price,15.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,765,1853,124725,numberExact,500.0,500.0,NO_CHANGE,-1.0,15.0,16.0,UPDATED,8,743.75,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:49.668406+00:00,2026-08-21T09:02:54.448283+00:00,15,18
124836,5906717415562,Beistellwagen tattoo pro ink 701 schwarz,124836,5906717415562,Beistellwagen tattoo pro ink 701 schwarz,EUR,519.51,extension_attributes.final_price,0.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,766,1855,124836,numberExact,519.51,519.51,NO_CHANGE,0.0,0.0,0.0,NO_CHANGE,8,772.77,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:55.946584+00:00,2026-08-21T09:02:58.236741+00:00,15,18
124848,5906717415616,Beistellwagen tattoo pro ink 1019a schwarz,124848,5906717415616,Beistellwagen tattoo pro ink 1019a schwarz,EUR,99.57,extension_attributes.final_price,58.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,767,1856,124848,numberExact,99.57,99.57,NO_CHANGE,-10.0,58.0,68.0,UPDATED,8,148.11,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:02:59.724266+00:00,2026-08-21T09:03:03.860445+00:00,15,18
125383,5906717417016,Gabbiano barberstuhl amadeo braun,125383,5906717417016,Gabbiano barberstuhl amadeo braun,EUR,259.75,extension_attributes.final_price,36.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,768,1857,125383,numberExact,259.75,259.75,NO_CHANGE,-1.0,36.0,37.0,UPDATED,8,386.38,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:03:05.439643+00:00,2026-08-21T09:03:10.204848+00:00,15,18
125392,5906717417085,Barberstuhl Gabbiano Rufo schwarz,125392,5906717417085,Barberstuhl Gabbiano Rufo schwarz,EUR,174.75,extension_attributes.final_price,173.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,769,1859,125392,numberExact,174.75,174.75,NO_CHANGE,-30.0,173.0,203.0,UPDATED,8,259.94,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:03:11.595442+00:00,2026-08-21T09:03:16.413875+00:00,15,18
125408,5906717429873,Hair system friseurstuhl ber 8541 schwarz,125408,5906717429873,Hair system friseurstuhl ber 8541 schwarz,EUR,201.44,extension_attributes.final_price,4.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,770,1861,125408,numberExact,201.44,201.44,NO_CHANGE,4.0,4.0,0.0,NO_CHANGE,8,299.64,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:03:17.905332+00:00,2026-08-21T09:03:20.137522+00:00,15,18
125588,5906717417276,Spa-kosmetikliege azzurro 818a 4 motoren weiss beheizbar,125588,5906717417276,Spa-kosmetikliege azzurro 818a 4 motoren weiss beheizbar,EUR,1197.76,extension_attributes.final_price,41.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,771,1862,125588,numberExact,1197.76,1197.76,NO_CHANGE,-7.0,41.0,48.0,UPDATED,8,1781.67,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:03:21.702125+00:00,2026-08-21T09:03:25.851980+00:00,15,18
125930,5901810004149,apis regenerierende Crememaske zur Gesichtsmassage 200 ml,125930,5901810004149,apis regenerierende Crememaske zur Gesichtsmassage 200 ml,EUR,5.46,extension_attributes.final_price,29.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,772,1863,125930,numberExact,5.46,5.46,NO_CHANGE,33.0,29.0,-4.0,UPDATED,8,8.12,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:03:27.246627+00:00,2026-08-21T09:03:32.014097+00:00,15,18
125935,5901810004132,Apis Gel für Behandlungen mit Ultraschall 500ml,125935,5901810004132,Apis Gel für Behandlungen mit Ultraschall 500ml,EUR,4.55,extension_attributes.final_price,75.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,773,1864,125935,numberExact,4.55,4.55,NO_CHANGE,13.0,75.0,62.0,UPDATED,8,6.77,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:03:33.518243+00:00,2026-08-21T09:03:38.265912+00:00,15,18
126408,5906717462924,Pro Ink Lampenhalter mit Ablage,126408,5906717462924,Pro Ink Lampenhalter mit Ablage,EUR,72.15,extension_attributes.final_price,3.0,extension_attributes.stock_qty,PRODUCT_PAYLOAD,774,1865,126408,numberExact,72.15,72.15,NO_CHANGE,3.0,3.0,0.0,NO_CHANGE,8,107.32,UPDATED,OK,FOUND,SYNCED,,2026-08-21T09:03:39.722708+00:00,2026-08-21T09:03:42.051203+00:00,15,18
